,,,NumberofStudents,NumberofStudents,NumberofStudents
,,,min,max,mean
District,SchoolType,BirthYear,,,
Uście Gorlickie,Szkoła podstawowa,2009,9,16,11.333333333333334
Uście Gorlickie,Szkoła podstawowa,2010,9,16,11.333333333333334
Uście Gorlickie,Szkoła podstawowa,2011,8,15,10.666666666666666
Uścimów,Szkoła podstawowa,2006,6,44,25.0
Uścimów,Szkoła podstawowa,2007,8,52,30.0
Uścimów,Szkoła podstawowa,2008,7,50,28.5
Uścimów,Szkoła podstawowa,2009,6,39,22.5
Uścimów,Szkoła podstawowa,2010,5,36,20.5
Uścimów,Szkoła podstawowa,2011,6,39,22.5
Wadowice,Gimnazjum,2003,4,4,4.0
Wadowice,Gimnazjum,2004,5,5,5.0
Wadowice,Gimnazjum,2005,5,5,5.0
Wadowice,Liceum ogólnokształcące,2000,34,163,98.5
Wadowice,Liceum ogólnokształcące,2001,36,168,102.0
Wadowice,Liceum ogólnokształcące,2002,33,158,95.5
Wadowice,Przedszkole,2012,2,45,17.846153846153847
Wadowice,Przedszkole,2013,2,45,17.846153846153847
Wadowice,Przedszkole,2014,1,43,17.0
Wadowice,Przedszkole,2015,2,46,18.384615384615383
Wadowice,Szkoła podstawowa,2006,9,96,43.46666666666667
Wadowice,Szkoła podstawowa,2007,11,108,48.93333333333333
Wadowice,Szkoła podstawowa,2008,11,108,48.93333333333333
Wadowice,Szkoła podstawowa,2009,9,96,43.46666666666667
Wadowice,Szkoła podstawowa,2010,9,96,43.46666666666667
Wadowice,Szkoła podstawowa,2011,9,90,40.666666666666664
Wadowice,Szkoła policealna,1994,3,5,4.0
Wadowice,Szkoła policealna,1995,3,5,4.0
Wadowice,Szkoła policealna,1996,3,5,4.0
Wadowice,Szkoła policealna,1997,2,4,3.0
Wadowice,Szkoła policealna,1998,2,4,3.0
Wadowice,Szkoła policealna,1999,2,4,3.0
Wadowice Górne,Szkoła podstawowa,2006,10,21,14.166666666666666
Wadowice Górne,Szkoła podstawowa,2007,11,23,15.166666666666666
Wadowice Górne,Szkoła podstawowa,2008,12,24,16.166666666666668
Wadowice Górne,Szkoła podstawowa,2009,11,23,15.166666666666666
Wadowice Górne,Szkoła podstawowa,2010,11,23,15.166666666666666
Wadowice Górne,Szkoła podstawowa,2011,10,21,14.166666666666666
Waganiec,Szkoła podstawowa,2006,11,11,11.0
Waganiec,Szkoła podstawowa,2007,13,13,13.0
Waganiec,Szkoła podstawowa,2008,13,13,13.0
Waganiec,Szkoła podstawowa,2009,12,12,12.0
Waganiec,Szkoła podstawowa,2010,12,12,12.0
Waganiec,Szkoła podstawowa,2011,11,11,11.0
Walce,Gimnazjum,2003,12,12,12.0
Walce,Gimnazjum,2004,15,15,15.0
Walce,Gimnazjum,2005,17,17,17.0
Walce,Przedszkole,2012,10,41,25.5
Walce,Przedszkole,2013,10,40,25.0
Walce,Przedszkole,2014,9,38,23.5
Walce,Przedszkole,2015,10,41,25.5
Walce,Szkoła podstawowa,2006,7,36,18.333333333333332
Walce,Szkoła podstawowa,2007,7,34,17.333333333333332
Walce,Szkoła podstawowa,2008,7,34,17.333333333333332
Walce,Szkoła podstawowa,2009,7,36,18.333333333333332
Walce,Szkoła podstawowa,2010,8,41,21.0
Walce,Szkoła podstawowa,2011,9,43,22.333333333333332
Walim,Szkoła podstawowa,2006,35,38,36.5
Walim,Szkoła podstawowa,2007,47,51,49.0
Walim,Szkoła podstawowa,2008,42,46,44.0
Walim,Szkoła podstawowa,2009,33,36,34.5
Walim,Szkoła podstawowa,2010,37,41,39.0
Walim,Szkoła podstawowa,2011,40,44,42.0
Wapno,Przedszkole,2012,5,17,11.0
Wapno,Przedszkole,2013,5,16,10.5
Wapno,Przedszkole,2014,4,13,8.5
Wapno,Przedszkole,2015,5,14,9.5
Wapno,Szkoła podstawowa,2006,46,46,46.0
Wapno,Szkoła podstawowa,2007,49,49,49.0
Wapno,Szkoła podstawowa,2008,46,46,46.0
Wapno,Szkoła podstawowa,2009,49,49,49.0
Wapno,Szkoła podstawowa,2010,41,41,41.0
Wapno,Szkoła podstawowa,2011,35,35,35.0
Warka,Liceum ogólnokształcące,2000,46,46,46.0
Warka,Liceum ogólnokształcące,2001,43,43,43.0
Warka,Liceum ogólnokształcące,2002,46,46,46.0
Warka,Przedszkole,2012,5,60,35.0
Warka,Przedszkole,2013,5,60,35.0
Warka,Przedszkole,2014,6,62,36.666666666666664
Warka,Przedszkole,2015,6,65,38.0
Warka,Szkoła podstawowa,2006,18,139,58.5
Warka,Szkoła podstawowa,2007,19,148,62.166666666666664
Warka,Szkoła podstawowa,2008,18,139,58.5
Warka,Szkoła podstawowa,2009,16,123,51.833333333333336
Warka,Szkoła podstawowa,2010,17,131,55.333333333333336
Warka,Szkoła podstawowa,2011,18,139,58.5
Warlubie,Szkoła podstawowa,2006,15,93,48.333333333333336
Warlubie,Szkoła podstawowa,2007,15,93,48.333333333333336
Warlubie,Szkoła podstawowa,2008,14,88,45.666666666666664
Warlubie,Szkoła podstawowa,2009,13,82,42.666666666666664
Warlubie,Szkoła podstawowa,2010,12,77,40.0
Warlubie,Szkoła podstawowa,2011,12,77,40.0
Warnice,Szkoła podstawowa,2006,54,54,54.0
Warnice,Szkoła podstawowa,2007,51,51,51.0
Warnice,Szkoła podstawowa,2008,43,43,43.0
Warnice,Szkoła podstawowa,2009,46,46,46.0
Warnice,Szkoła podstawowa,2010,46,46,46.0
Warnice,Szkoła podstawowa,2011,43,43,43.0
Warszawa,Gimnazjum,2003,2,43,8.71875
Warszawa,Gimnazjum,2004,2,46,9.21875
Warszawa,Gimnazjum,2005,2,50,10.15625
Warszawa,Liceum ogólnokształcące,2000,1,305,91.21192052980132
Warszawa,Liceum ogólnokształcące,2001,1,315,94.02649006622516
Warszawa,Liceum ogólnokształcące,2002,1,334,98.52287581699346
Warszawa,Przedszkole,2012,1,94,20.379265091863516
Warszawa,Przedszkole,2013,1,98,21.334645669291337
Warszawa,Przedszkole,2014,1,106,23.05366492146597
Warszawa,Przedszkole,2015,1,110,23.92931937172775
Warszawa,Szkoła podstawowa,2006,1,292,71.5030303030303
Warszawa,Szkoła podstawowa,2007,1,310,75.76737160120845
Warszawa,Szkoła podstawowa,2008,1,310,75.76737160120845
Warszawa,Szkoła podstawowa,2009,1,310,75.76737160120845
Warszawa,Szkoła podstawowa,2010,1,310,75.76737160120845
Warszawa,Szkoła podstawowa,2011,1,292,71.5030303030303
Warszawa,Szkoła policealna,1994,1,511,38.80882352941177
Warszawa,Szkoła policealna,1995,1,482,36.705882352941174
Warszawa,Szkoła policealna,1996,1,454,34.529411764705884
Warszawa,Szkoła policealna,1997,1,454,34.529411764705884
Warszawa,Szkoła policealna,1998,1,454,34.529411764705884
Warszawa,Szkoła policealna,1999,1,482,36.705882352941174
Warta,Przedszkole,2012,52,52,52.0
Warta,Przedszkole,2013,48,48,48.0
Warta,Przedszkole,2014,43,43,43.0
Warta,Przedszkole,2015,41,41,41.0
Warta,Szkoła podstawowa,2006,6,66,22.555555555555557
Warta,Szkoła podstawowa,2007,7,70,24.0
Warta,Szkoła podstawowa,2008,6,66,22.555555555555557
Warta,Szkoła podstawowa,2009,6,66,22.555555555555557
Warta,Szkoła podstawowa,2010,7,70,24.0
Warta,Szkoła podstawowa,2011,6,66,22.555555555555557
Warta Bolesławiecka,Przedszkole,2012,12,12,12.0
Warta Bolesławiecka,Przedszkole,2013,14,14,14.0
Warta Bolesławiecka,Przedszkole,2014,13,13,13.0
Warta Bolesławiecka,Przedszkole,2015,12,12,12.0
Warta Bolesławiecka,Szkoła podstawowa,2006,16,41,30.75
Warta Bolesławiecka,Szkoła podstawowa,2007,16,41,30.75
Warta Bolesławiecka,Szkoła podstawowa,2008,16,41,30.75
Warta Bolesławiecka,Szkoła podstawowa,2009,12,30,22.75
Warta Bolesławiecka,Szkoła podstawowa,2010,12,30,22.75
Warta Bolesławiecka,Szkoła podstawowa,2011,12,30,22.75
Wartkowice,Przedszkole,2012,11,11,11.0
Wartkowice,Przedszkole,2013,11,11,11.0
Wartkowice,Przedszkole,2014,12,12,12.0
Wartkowice,Przedszkole,2015,13,13,13.0
Wartkowice,Szkoła podstawowa,2006,17,51,34.0
Wartkowice,Szkoła podstawowa,2007,18,55,36.5
Wartkowice,Szkoła podstawowa,2008,16,48,32.0
Wartkowice,Szkoła podstawowa,2009,17,51,34.0
Wartkowice,Szkoła podstawowa,2010,21,61,41.0
Wartkowice,Szkoła podstawowa,2011,18,55,36.5
Wasilków,Przedszkole,2012,5,61,21.2
Wasilków,Przedszkole,2013,5,61,21.2
Wasilków,Przedszkole,2014,5,64,22.2
Wasilków,Przedszkole,2015,5,66,22.8
Wasilków,Szkoła podstawowa,2006,2,158,49.2
Wasilków,Szkoła podstawowa,2007,3,167,52.2
Wasilków,Szkoła podstawowa,2008,2,158,49.2
Wasilków,Szkoła podstawowa,2009,2,149,46.4
Wasilków,Szkoła podstawowa,2010,2,149,46.4
Wasilków,Szkoła podstawowa,2011,2,149,46.4
Wałbrzych,Gimnazjum,2003,3,3,3.0
Wałbrzych,Gimnazjum,2004,3,3,3.0
Wałbrzych,Gimnazjum,2005,4,4,4.0
Wałbrzych,Liceum ogólnokształcące,2000,8,151,76.16666666666667
Wałbrzych,Liceum ogólnokształcące,2001,8,151,76.16666666666667
Wałbrzych,Liceum ogólnokształcące,2002,8,151,76.16666666666667
Wałbrzych,Przedszkole,2012,3,46,22.84
Wałbrzych,Przedszkole,2013,3,46,22.84
Wałbrzych,Przedszkole,2014,3,44,21.8
Wałbrzych,Przedszkole,2015,3,46,22.84
Wałbrzych,Szkoła podstawowa,2006,5,175,89.76923076923077
Wałbrzych,Szkoła podstawowa,2007,5,175,89.76923076923077
Wałbrzych,Szkoła podstawowa,2008,5,165,84.76923076923077
Wałbrzych,Szkoła podstawowa,2009,5,155,79.76923076923077
Wałbrzych,Szkoła podstawowa,2010,5,155,79.76923076923077
Wałbrzych,Szkoła podstawowa,2011,4,145,74.61538461538461
Wałbrzych,Szkoła policealna,1994,2,79,24.2
Wałbrzych,Szkoła policealna,1995,1,74,22.6
Wałbrzych,Szkoła policealna,1996,1,70,21.4
Wałbrzych,Szkoła policealna,1997,1,62,19.0
Wałbrzych,Szkoła policealna,1998,1,62,19.0
Wałbrzych,Szkoła policealna,1999,1,66,20.2
Wałcz,Przedszkole,2012,1,27,13.555555555555555
Wałcz,Przedszkole,2013,1,31,15.222222222222221
Wałcz,Przedszkole,2014,1,31,15.222222222222221
Wałcz,Przedszkole,2015,1,27,13.444444444444445
Wałcz,Szkoła podstawowa,2006,6,80,26.916666666666668
Wałcz,Szkoła podstawowa,2007,6,80,26.916666666666668
Wałcz,Szkoła podstawowa,2008,5,73,23.916666666666668
Wałcz,Szkoła podstawowa,2009,5,73,23.916666666666668
Wałcz,Szkoła podstawowa,2010,5,73,23.916666666666668
Wałcz,Szkoła podstawowa,2011,5,73,23.916666666666668
Wałcz,Szkoła policealna,1994,11,11,11.0
Wałcz,Szkoła policealna,1995,11,11,11.0
Wałcz,Szkoła policealna,1996,10,10,10.0
Wałcz,Szkoła policealna,1997,9,9,9.0
Wałcz,Szkoła policealna,1998,10,10,10.0
Wałcz,Szkoła policealna,1999,10,10,10.0
Waśniów,Gimnazjum,2003,14,14,14.0
Waśniów,Gimnazjum,2004,15,15,15.0
Waśniów,Gimnazjum,2005,16,16,16.0
Waśniów,Szkoła podstawowa,2006,12,45,27.0
Waśniów,Szkoła podstawowa,2007,13,52,30.75
Waśniów,Szkoła podstawowa,2008,14,55,32.5
Waśniów,Szkoła podstawowa,2009,14,55,32.5
Waśniów,Szkoła podstawowa,2010,14,55,32.5
Waśniów,Szkoła podstawowa,2011,11,42,25.0
Wejherowo,Liceum ogólnokształcące,2000,6,6,6.0
Wejherowo,Liceum ogólnokształcące,2001,6,6,6.0
Wejherowo,Liceum ogólnokształcące,2002,6,6,6.0
Wejherowo,Przedszkole,2012,1,51,10.708333333333334
Wejherowo,Przedszkole,2013,1,51,10.916666666666666
Wejherowo,Przedszkole,2014,1,54,11.5
Wejherowo,Przedszkole,2015,1,54,11.666666666666666
Wejherowo,Szkoła podstawowa,2006,2,118,53.06666666666667
Wejherowo,Szkoła podstawowa,2007,2,130,56.733333333333334
Wejherowo,Szkoła podstawowa,2008,2,118,53.06666666666667
Wejherowo,Szkoła podstawowa,2009,2,118,53.06666666666667
Wejherowo,Szkoła podstawowa,2010,1,118,50.6
Wejherowo,Szkoła podstawowa,2011,1,118,50.6
Werbkowice,Gimnazjum,2003,1,1,1.0
Werbkowice,Gimnazjum,2004,1,1,1.0
Werbkowice,Gimnazjum,2005,2,2,2.0
Werbkowice,Przedszkole,2012,32,32,32.0
Werbkowice,Przedszkole,2013,36,36,36.0
Werbkowice,Przedszkole,2014,34,34,34.0
Werbkowice,Przedszkole,2015,31,31,31.0
Werbkowice,Szkoła podstawowa,2006,5,69,20.0
Werbkowice,Szkoła podstawowa,2007,5,65,18.857142857142858
Werbkowice,Szkoła podstawowa,2008,4,58,16.714285714285715
Werbkowice,Szkoła podstawowa,2009,4,58,16.714285714285715
Werbkowice,Szkoła podstawowa,2010,4,62,17.714285714285715
Werbkowice,Szkoła podstawowa,2011,3,51,14.571428571428571
Wicko,Przedszkole,2012,18,19,18.5
Wicko,Przedszkole,2013,14,15,14.5
Wicko,Przedszkole,2014,14,14,14.0
Wicko,Przedszkole,2015,16,17,16.5
Wicko,Szkoła podstawowa,2006,15,50,28.666666666666668
Wicko,Szkoła podstawowa,2007,15,50,28.666666666666668
Wicko,Szkoła podstawowa,2008,14,47,27.0
Wicko,Szkoła podstawowa,2009,12,38,22.0
Wicko,Szkoła podstawowa,2010,13,44,25.333333333333332
Wicko,Szkoła podstawowa,2011,13,44,25.333333333333332
Widawa,Przedszkole,2012,31,31,31.0
Widawa,Przedszkole,2013,34,34,34.0
Widawa,Przedszkole,2014,35,35,35.0
Widawa,Przedszkole,2015,37,37,37.0
Widawa,Szkoła podstawowa,2006,11,25,18.0
Widawa,Szkoła podstawowa,2007,9,21,15.0
Widawa,Szkoła podstawowa,2008,9,21,15.0
Widawa,Szkoła podstawowa,2009,9,21,15.0
Widawa,Szkoła podstawowa,2010,10,22,16.0
Widawa,Szkoła podstawowa,2011,9,19,14.0
Widuchowa,Przedszkole,2012,22,22,22.0
Widuchowa,Przedszkole,2013,20,20,20.0
Widuchowa,Przedszkole,2014,21,21,21.0
Widuchowa,Przedszkole,2015,21,21,21.0
Widuchowa,Szkoła podstawowa,2006,19,55,37.0
Widuchowa,Szkoła podstawowa,2007,19,55,37.0
Widuchowa,Szkoła podstawowa,2008,21,58,39.5
Widuchowa,Szkoła podstawowa,2009,22,62,42.0
Widuchowa,Szkoła podstawowa,2010,23,66,44.5
Widuchowa,Szkoła podstawowa,2011,23,66,44.5
Wieczfnia Kościelna,Szkoła podstawowa,2006,11,60,29.0
Wieczfnia Kościelna,Szkoła podstawowa,2007,9,51,24.333333333333332
Wieczfnia Kościelna,Szkoła podstawowa,2008,9,51,24.333333333333332
Wieczfnia Kościelna,Szkoła podstawowa,2009,9,54,25.666666666666668
Wieczfnia Kościelna,Szkoła podstawowa,2010,8,45,21.666666666666668
Wieczfnia Kościelna,Szkoła podstawowa,2011,7,39,18.666666666666668
Wieleń,Przedszkole,2012,67,67,67.0
Wieleń,Przedszkole,2013,67,67,67.0
Wieleń,Przedszkole,2014,64,64,64.0
Wieleń,Przedszkole,2015,62,62,62.0
Wieleń,Szkoła podstawowa,2006,18,70,37.0
Wieleń,Szkoła podstawowa,2007,19,74,39.166666666666664
Wieleń,Szkoła podstawowa,2008,18,70,37.0
Wieleń,Szkoła podstawowa,2009,18,70,37.0
Wieleń,Szkoła podstawowa,2010,16,66,34.666666666666664
Wieleń,Szkoła podstawowa,2011,15,61,32.333333333333336
Wielgie,Przedszkole,2012,9,9,9.0
Wielgie,Przedszkole,2013,12,12,12.0
Wielgie,Przedszkole,2014,10,10,10.0
Wielgie,Przedszkole,2015,9,9,9.0
Wielgie,Szkoła podstawowa,2006,25,25,25.0
Wielgie,Szkoła podstawowa,2007,25,25,25.0
Wielgie,Szkoła podstawowa,2008,24,24,24.0
Wielgie,Szkoła podstawowa,2009,21,21,21.0
Wielgie,Szkoła podstawowa,2010,20,20,20.0
Wielgie,Szkoła podstawowa,2011,17,17,17.0
Wielgomłyny,Gimnazjum,2003,13,13,13.0
Wielgomłyny,Gimnazjum,2004,15,15,15.0
Wielgomłyny,Gimnazjum,2005,15,15,15.0
Wielgomłyny,Szkoła podstawowa,2006,20,41,28.0
Wielgomłyny,Szkoła podstawowa,2007,19,39,26.333333333333332
Wielgomłyny,Szkoła podstawowa,2008,18,36,24.666666666666668
Wielgomłyny,Szkoła podstawowa,2009,16,34,23.0
Wielgomłyny,Szkoła podstawowa,2010,14,30,20.333333333333332
Wielgomłyny,Szkoła podstawowa,2011,16,34,23.0
Wielichowo,Przedszkole,2012,4,23,10.2
Wielichowo,Przedszkole,2013,5,25,11.4
Wielichowo,Przedszkole,2014,5,26,11.6
Wielichowo,Przedszkole,2015,5,26,11.6
Wielichowo,Szkoła podstawowa,2006,5,97,32.75
Wielichowo,Szkoła podstawowa,2007,4,91,30.5
Wielichowo,Szkoła podstawowa,2008,4,91,30.5
Wielichowo,Szkoła podstawowa,2009,5,97,32.75
Wielichowo,Szkoła podstawowa,2010,4,86,29.0
Wielichowo,Szkoła podstawowa,2011,3,75,25.0
Wieliczka,Gimnazjum,2003,4,4,4.0
Wieliczka,Gimnazjum,2004,4,4,4.0
Wieliczka,Gimnazjum,2005,5,5,5.0
Wieliczka,Liceum ogólnokształcące,2000,7,191,84.33333333333333
Wieliczka,Liceum ogólnokształcące,2001,7,191,84.33333333333333
Wieliczka,Liceum ogólnokształcące,2002,7,196,86.66666666666667
Wieliczka,Przedszkole,2012,1,39,14.575757575757576
Wieliczka,Przedszkole,2013,1,39,14.575757575757576
Wieliczka,Przedszkole,2014,1,42,15.757575757575758
Wieliczka,Przedszkole,2015,1,42,15.757575757575758
Wieliczka,Szkoła podstawowa,2006,2,132,47.78260869565217
Wieliczka,Szkoła podstawowa,2007,2,132,47.78260869565217
Wieliczka,Szkoła podstawowa,2008,2,132,47.78260869565217
Wieliczka,Szkoła podstawowa,2009,2,132,47.78260869565217
Wieliczka,Szkoła podstawowa,2010,2,124,44.91304347826087
Wieliczka,Szkoła podstawowa,2011,2,116,42.04347826086956
Wieliczka,Szkoła policealna,1994,1,1,1.0
Wieliczka,Szkoła policealna,1995,1,1,1.0
Wieliczka,Szkoła policealna,1996,1,1,1.0
Wieliczka,Szkoła policealna,1997,1,1,1.0
Wieliczka,Szkoła policealna,1998,1,1,1.0
Wieliczka,Szkoła policealna,1999,1,1,1.0
Wieliszew,Przedszkole,2012,2,27,14.6
Wieliszew,Przedszkole,2013,1,31,14.0
Wieliszew,Przedszkole,2014,1,32,14.666666666666666
Wieliszew,Przedszkole,2015,1,33,15.0
Wieliszew,Szkoła podstawowa,2006,16,79,48.5
Wieliszew,Szkoła podstawowa,2007,18,84,51.666666666666664
Wieliszew,Szkoła podstawowa,2008,20,94,57.833333333333336
Wieliszew,Szkoła podstawowa,2009,18,84,51.666666666666664
Wieliszew,Szkoła podstawowa,2010,16,79,48.5
Wieliszew,Szkoła podstawowa,2011,15,74,45.333333333333336
Wielka Nieszawka,Przedszkole,2012,15,40,27.5
Wielka Nieszawka,Przedszkole,2013,14,37,25.5
Wielka Nieszawka,Przedszkole,2014,13,34,23.5
Wielka Nieszawka,Przedszkole,2015,12,31,21.5
Wielka Nieszawka,Szkoła podstawowa,2006,38,45,41.5
Wielka Nieszawka,Szkoła podstawowa,2007,43,50,46.5
Wielka Nieszawka,Szkoła podstawowa,2008,38,45,41.5
Wielka Nieszawka,Szkoła podstawowa,2009,36,42,39.0
Wielka Nieszawka,Szkoła podstawowa,2010,36,42,39.0
Wielka Nieszawka,Szkoła podstawowa,2011,31,37,34.0
Wielka Wieś,Przedszkole,2012,5,26,13.333333333333334
Wielka Wieś,Przedszkole,2013,5,25,13.0
Wielka Wieś,Przedszkole,2014,5,26,13.333333333333334
Wielka Wieś,Przedszkole,2015,6,31,16.0
Wielka Wieś,Szkoła podstawowa,2006,20,37,28.5
Wielka Wieś,Szkoła podstawowa,2007,18,35,26.5
Wielka Wieś,Szkoła podstawowa,2008,17,33,25.25
Wielka Wieś,Szkoła podstawowa,2009,17,33,25.25
Wielka Wieś,Szkoła podstawowa,2010,21,39,30.0
Wielka Wieś,Szkoła podstawowa,2011,21,39,30.0
Wielkie Oczy,Szkoła podstawowa,2006,34,34,34.0
Wielkie Oczy,Szkoła podstawowa,2007,34,34,34.0
Wielkie Oczy,Szkoła podstawowa,2008,32,32,32.0
Wielkie Oczy,Szkoła podstawowa,2009,32,32,32.0
Wielkie Oczy,Szkoła podstawowa,2010,26,26,26.0
Wielkie Oczy,Szkoła podstawowa,2011,30,30,30.0
Wielopole Skrzyńskie,Gimnazjum,2003,29,29,29.0
Wielopole Skrzyńskie,Gimnazjum,2004,29,29,29.0
Wielopole Skrzyńskie,Gimnazjum,2005,30,30,30.0
Wielopole Skrzyńskie,Przedszkole,2012,27,27,27.0
Wielopole Skrzyńskie,Przedszkole,2013,24,24,24.0
Wielopole Skrzyńskie,Przedszkole,2014,22,22,22.0
Wielopole Skrzyńskie,Przedszkole,2015,22,22,22.0
Wielopole Skrzyńskie,Szkoła podstawowa,2006,13,40,23.0
Wielopole Skrzyńskie,Szkoła podstawowa,2007,13,40,23.0
Wielopole Skrzyńskie,Szkoła podstawowa,2008,13,40,23.0
Wielopole Skrzyńskie,Szkoła podstawowa,2009,12,37,21.5
Wielopole Skrzyńskie,Szkoła podstawowa,2010,12,37,21.5
Wielopole Skrzyńskie,Szkoła podstawowa,2011,12,37,21.5
Wielowieś,Szkoła podstawowa,2006,21,21,21.0
Wielowieś,Szkoła podstawowa,2007,24,24,24.0
Wielowieś,Szkoła podstawowa,2008,24,24,24.0
Wielowieś,Szkoła podstawowa,2009,21,21,21.0
Wielowieś,Szkoła podstawowa,2010,21,21,21.0
Wielowieś,Szkoła podstawowa,2011,24,24,24.0
Wieluń,Liceum ogólnokształcące,2000,17,178,107.5
Wieluń,Liceum ogólnokształcące,2001,16,172,103.75
Wieluń,Liceum ogólnokształcące,2002,17,178,107.5
Wieluń,Przedszkole,2012,4,84,42.6
Wieluń,Przedszkole,2013,4,84,42.6
Wieluń,Przedszkole,2014,4,78,39.6
Wieluń,Przedszkole,2015,4,78,39.6
Wieluń,Szkoła podstawowa,2006,11,129,43.54545454545455
Wieluń,Szkoła podstawowa,2007,12,137,46.45454545454545
Wieluń,Szkoła podstawowa,2008,12,137,46.45454545454545
Wieluń,Szkoła podstawowa,2009,12,137,46.45454545454545
Wieluń,Szkoła podstawowa,2010,12,137,46.45454545454545
Wieluń,Szkoła podstawowa,2011,11,129,43.54545454545455
Wieluń,Szkoła policealna,1994,12,17,14.5
Wieluń,Szkoła policealna,1995,11,16,13.5
Wieluń,Szkoła policealna,1996,11,16,13.5
Wieluń,Szkoła policealna,1997,11,16,13.5
Wieluń,Szkoła policealna,1998,12,17,14.5
Wieluń,Szkoła policealna,1999,12,17,14.5
Wieniawa,Przedszkole,2012,22,22,22.0
Wieniawa,Przedszkole,2013,23,23,23.0
Wieniawa,Przedszkole,2014,23,23,23.0
Wieniawa,Przedszkole,2015,23,23,23.0
Wieniawa,Szkoła podstawowa,2006,8,93,50.5
Wieniawa,Szkoła podstawowa,2007,7,88,47.5
Wieniawa,Szkoła podstawowa,2008,7,88,47.5
Wieniawa,Szkoła podstawowa,2009,7,83,45.0
Wieniawa,Szkoła podstawowa,2010,6,74,40.0
Wieniawa,Szkoła podstawowa,2011,6,69,37.5
Wieprz,Przedszkole,2012,18,18,18.0
Wieprz,Przedszkole,2013,18,18,18.0
Wieprz,Przedszkole,2014,18,18,18.0
Wieprz,Przedszkole,2015,19,19,19.0
Wieruszów,Przedszkole,2012,5,36,20.75
Wieruszów,Przedszkole,2013,5,38,21.75
Wieruszów,Przedszkole,2014,5,36,20.75
Wieruszów,Przedszkole,2015,5,35,20.25
Wieruszów,Szkoła podstawowa,2006,15,94,43.0
Wieruszów,Szkoła podstawowa,2007,17,105,48.0
Wieruszów,Szkoła podstawowa,2008,16,99,45.2
Wieruszów,Szkoła podstawowa,2009,13,84,38.0
Wieruszów,Szkoła podstawowa,2010,12,73,33.4
Wieruszów,Szkoła podstawowa,2011,11,68,31.0
Wierzbica,Przedszkole,2012,4,20,8.166666666666666
Wierzbica,Przedszkole,2013,3,21,8.5
Wierzbica,Przedszkole,2014,3,22,8.666666666666666
Wierzbica,Przedszkole,2015,3,22,8.666666666666666
Wierzbica,Szkoła podstawowa,2006,4,49,17.125
Wierzbica,Szkoła podstawowa,2007,4,53,18.5
Wierzbica,Szkoła podstawowa,2008,4,53,18.5
Wierzbica,Szkoła podstawowa,2009,4,49,17.125
Wierzbica,Szkoła podstawowa,2010,4,44,15.875
Wierzbica,Szkoła podstawowa,2011,4,40,14.5
Wierzbinek,Liceum ogólnokształcące,2000,39,39,39.0
Wierzbinek,Liceum ogólnokształcące,2001,33,33,33.0
Wierzbinek,Liceum ogólnokształcące,2002,31,31,31.0
Wierzbinek,Przedszkole,2012,28,28,28.0
Wierzbinek,Przedszkole,2013,26,26,26.0
Wierzbinek,Przedszkole,2014,21,21,21.0
Wierzbinek,Przedszkole,2015,24,24,24.0
Wierzbinek,Szkoła podstawowa,2006,17,39,24.5
Wierzbinek,Szkoła podstawowa,2007,17,39,24.5
Wierzbinek,Szkoła podstawowa,2008,15,35,21.833333333333332
Wierzbinek,Szkoła podstawowa,2009,13,30,18.833333333333332
Wierzbinek,Szkoła podstawowa,2010,13,30,18.833333333333332
Wierzbinek,Szkoła podstawowa,2011,14,32,20.166666666666668
Wierzbinek,Szkoła policealna,1994,11,11,11.0
Wierzbinek,Szkoła policealna,1995,10,10,10.0
Wierzbinek,Szkoła policealna,1996,9,9,9.0
Wierzbinek,Szkoła policealna,1997,7,7,7.0
Wierzbinek,Szkoła policealna,1998,8,8,8.0
Wierzbinek,Szkoła policealna,1999,8,8,8.0
Wierzbno,Przedszkole,2012,10,10,10.0
Wierzbno,Przedszkole,2013,9,9,9.0
Wierzbno,Przedszkole,2014,13,13,13.0
Wierzbno,Przedszkole,2015,13,13,13.0
Wierzbno,Szkoła podstawowa,2006,13,17,15.0
Wierzbno,Szkoła podstawowa,2007,13,17,15.0
Wierzbno,Szkoła podstawowa,2008,14,18,16.0
Wierzbno,Szkoła podstawowa,2009,14,18,16.0
Wierzbno,Szkoła podstawowa,2010,16,21,18.5
Wierzbno,Szkoła podstawowa,2011,16,21,18.5
Wierzchlas,Szkoła podstawowa,2006,10,17,12.333333333333334
Wierzchlas,Szkoła podstawowa,2007,9,16,11.333333333333334
Wierzchlas,Szkoła podstawowa,2008,8,15,10.333333333333334
Wierzchlas,Szkoła podstawowa,2009,8,15,10.333333333333334
Wierzchlas,Szkoła podstawowa,2010,9,16,11.333333333333334
Wierzchlas,Szkoła podstawowa,2011,9,16,11.333333333333334
Wierzchosławice,Przedszkole,2012,7,36,21.5
Wierzchosławice,Przedszkole,2013,7,36,21.5
Wierzchosławice,Przedszkole,2014,8,37,22.5
Wierzchosławice,Przedszkole,2015,8,40,24.0
Wierzchosławice,Szkoła podstawowa,2006,15,64,28.4
Wierzchosławice,Szkoła podstawowa,2007,16,68,30.2
Wierzchosławice,Szkoła podstawowa,2008,13,57,25.2
Wierzchosławice,Szkoła podstawowa,2009,13,57,25.2
Wierzchosławice,Szkoła podstawowa,2010,14,60,26.8
Wierzchosławice,Szkoła podstawowa,2011,12,53,23.6
