,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
Bełchatów,Gimnazjum,2.1818181818181817,2.1818181818181817,2.1818181818181817
Bełchatów,Liceum ogólnokształcące,1.0,40.4,16.19178644018583
Bełchatów,Młodzieżowy Ośrodek Socjoterapii ze szkołami,1.21875,1.21875,1.21875
Bełchatów,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Bełchatów,Ośrodek dokształcania i doskonalenia zawodowego,0.0,0.0,0.0
Bełchatów,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Bełchatów,Pozaszkolna placówka specjalistyczna,0.0,0.0,0.0
Bełchatów,Przedszkole,4.545454545454546,18.727272727272727,10.000286010286008
Bełchatów,Specjalny Ośrodek Szkolno-Wychowawczy,0.46774193548387094,0.46774193548387094,0.46774193548387094
Bełchatów,Sześcioletnia szkoła muzyczna I stopnia,6.684210526315789,6.684210526315789,6.684210526315789
Bełchatów,Szkoła podstawowa,4.409090909090909,10.01388888888889,7.5519832398001725
Bełchatów,Szkoła policealna,3.0,114.0,27.381410256410255
Bełchatów,Technikum,1.894736842105263,1.894736842105263,1.894736842105263
Bełchatów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bełżec,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bełżyce,Przedszkole,6.111111111111111,10.526315789473685,8.379142300194932
Bełżyce,Sześcioletnia szkoła muzyczna I stopnia,5.25,5.25,5.25
Bełżyce,Szkoła podstawowa,2.533333333333333,10.366197183098592,4.787591251422677
Bełżyce,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biała,Gimnazjum,3.411764705882353,3.411764705882353,3.411764705882353
Biała,Przedszkole,5.666666666666667,9.454545454545455,7.64040404040404
Biała,Szkoła podstawowa,3.5652173913043477,9.625,5.488030538302278
Biała,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biała Piska,Przedszkole,10.61111111111111,10.61111111111111,10.61111111111111
Biała Piska,Szkoła podstawowa,1.9411764705882353,9.333333333333334,5.633364246599541
Biała Piska,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biała Podlaska,Biblioteki pedagogiczne,0.0,0.0,0.0
Biała Podlaska,Branżowa szkoła I stopnia,6.0,7.4375,6.71875
Biała Podlaska,Bursa,0.0,0.0,0.0
Biała Podlaska,Gimnazjum,2.1666666666666665,4.0,3.083333333333333
Biała Podlaska,Liceum ogólnokształcące,1.4375,27.285714285714285,9.347702355514855
Biała Podlaska,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Biała Podlaska,Ośrodek dokształcania i doskonalenia zawodowego,0.0,0.0,0.0
Biała Podlaska,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Biała Podlaska,Przedszkole,0.9583333333333334,12.8,7.8331802094057
Biała Podlaska,Punkt przedszkolny,3.0,11.5,7.375
Biała Podlaska,Sześcioletnia szkoła muzyczna I stopnia,6.125,6.125,6.125
